     h1-eth0      
 KB/s in  KB/s out
110583.6    306.27
81548.39    442.52
121974.0    289.45
121906.2    387.27
122034.7    351.67
121468.9    338.70
121590.9    403.48
121968.6    316.94
121512.4    420.78
121385.9    432.47
121983.3    332.36
71647.86    267.03
121846.4    338.31
121932.5    401.73
121995.7    357.74
104975.8    304.82
89614.33    511.14
122002.7    326.78
122006.6    372.06
121992.6    344.05
121617.5    359.68
121623.1    403.76
122019.5    394.42
121604.4    381.73
121990.7    360.73
121621.4    443.49
121609.9    426.28
122028.0    356.31
122000.7    354.42
121737.7    392.76
121604.0    474.44
121681.6    417.36
122016.4    363.59
121438.0    473.55
122014.8    390.07
121891.1    442.32
84834.73    528.45
122001.0    392.27
121600.1    436.57
122018.2    382.14
80645.48    240.16
110198.4    445.76
121993.3    342.34
121178.0    448.37
80051.41    537.87
120078.7    524.14
120608.2    470.88
120644.8    559.15
71352.87    289.98
120707.8    397.48
121340.5    415.70
122023.5    397.88
121576.2    376.88
122016.6    367.81
121764.4    394.26
121612.6    403.81
107270.3    283.43
104395.6    729.16
121580.9    447.72
122015.6    403.87
122025.2    367.54
70422.95    328.74
121651.1    418.15
121683.3    407.55
122030.4    415.04
122026.3    369.83
95172.19    246.28
110104.9    778.63
122017.0    356.30
121616.0    453.23
121383.5    406.39
83647.74    307.10
121862.5    702.74
121537.5    487.19
121697.6    420.59
122019.4    366.89
121462.7    415.36
122028.1    353.47
121745.9    389.97
74553.08    292.71
122030.3    326.88
122025.3    441.23
122026.5    316.38
121473.5    426.32
121710.6    431.57
70738.27    252.34
122024.3    375.48
121762.2    351.77
103297.2    308.61
49299.16    224.47
122008.4    418.34
121890.1    359.45
122005.2    350.15
122027.5    372.04
121905.0    410.87
122027.0    333.41
98110.47    350.56
93146.14    532.31
69018.72    242.60
72574.92    452.66
107468.7    331.17
91097.12    382.63
121729.1    406.13
121640.7    394.26
121581.2    449.19
116361.4    382.40
89670.18    701.02
122007.7    406.61
122010.8    398.16
121999.5    366.25
121956.1    368.24
122029.5    355.80
121985.5    373.48
121998.7    404.72
69221.13    196.86
69471.05    441.14
122009.2    386.58
77625.11    238.05
116108.8    423.09
121457.0    486.98
121927.0    386.11
82409.38    451.85
84007.16    311.46
121611.3    506.22
70405.27    274.33
121775.0    458.23
119556.9    376.46
72172.85    284.49
121627.3    436.55
121775.9    408.45
121761.5    368.31
70618.97    217.18
121440.2    514.09
122034.0    353.14
121512.2    421.51
121761.8    380.15
116515.8    349.38
76841.73    515.23
121759.4    395.91
122024.4    341.14
121625.8    432.95
121603.9    401.73
121352.8    438.02
70926.00    252.92
121760.4    431.87
121376.6    364.87
121551.5    441.97
121670.6    442.64
97571.30    251.45
95168.64    411.84
115650.4    321.34
77053.53    318.23
122025.4    397.26
121594.2    396.24
122019.4    393.57
120234.1    398.94
73959.62    350.61
71453.19    383.32
84923.95    254.54
105743.8    420.63
122001.8    393.37
121727.7    410.37
121993.4    443.75
121599.2    404.59
83131.01    484.77
120785.9    474.54
121395.9    474.64
121183.0    416.26
119231.8    536.57
120290.2    397.37
70205.62    315.34
121179.5    560.13
122016.5    367.47
122019.5    399.20
98306.36    327.06
95222.03    461.73
121614.3    495.80
122015.2    396.38
121766.5    404.17
122020.2    381.11
121604.4    394.92
71128.70    242.50
121747.3    549.68
122008.9    292.10
122024.8    348.69
122015.9    308.69
121996.6    269.76
121776.0    344.44
121777.0    329.02
122034.5    364.65
121765.5    359.21
122015.1    317.87
121709.8    320.70
70917.31    252.43
122030.7    372.28
121752.7    392.59
121559.5    385.03
121761.9    403.33
121623.5    471.50
121918.1    441.16
121994.0    373.82
122016.5    396.94
74841.13    244.24
118273.1    654.65
121603.9    417.84
121700.9    490.96
121727.8    374.58
121400.4    407.25
122010.9    395.43
122035.6    405.35
121945.9    383.79
121996.7    413.21
122028.3    379.68
121896.1    390.48
97232.84    310.23
94414.11    398.71
122035.5    448.86
121606.5    393.26
121752.8    429.32
108585.9    301.26
83911.26    356.98
121886.8    383.15
121699.8    410.39
121974.5    309.90
121683.3    340.71
121544.6    444.89
121609.0    430.65
122024.2    364.56
122019.1    404.74
122028.2    401.86
121961.1    412.79
69839.76    246.75
122015.3    410.77
121643.4    438.86
71638.85    386.51
122026.2    484.07
121744.4    394.26
121766.8    387.84
122034.2    380.91
122032.8    391.16
121544.7    416.46
121762.3    386.08
122002.4    382.30
122011.3    381.82
122006.8    394.47
121580.5    393.59
121737.1    478.84
121966.4    395.10
107782.2    368.76
86369.37    578.21
121918.6    403.15
121768.3    387.27
121749.0    422.84
122016.4    401.74
121764.0    409.18
121916.2    418.62
122011.8    413.75
121512.5    507.97
121758.5    389.19
121984.1    395.94
121604.2    385.10
121589.9    488.72
122016.0    372.38
82657.95    318.64
122003.4    659.33
122006.5    375.73
121898.6    410.46
121747.4    418.62
121743.2    412.49
122027.9    444.65
121589.2    412.07
92017.36    317.42
99427.32    593.94
122026.0    365.15
122025.5    413.29
122016.4    410.97
121092.4    515.26
71915.78    229.03
121954.5    338.51
71756.58    303.07
121919.1    504.94
121905.3    310.73
121561.8    348.06
81614.33    604.18
68325.32    406.92
121395.2    396.50
75869.42    267.04
51196.68    249.80
95747.23    522.45
120406.8    385.31
121985.6    328.46
121526.7    397.52
121998.4    310.03
121724.6    389.73
82675.22    622.61
121997.7    373.14
117970.6    353.47
73244.01    251.04
121430.7    365.46
121533.7    422.51
121711.7    364.51
121337.7    394.29
76605.92    229.00
    0.00      0.00
