time(s) 50ms 40ms 30ms 20ms 2ms
1 19682.46 17148.7 14407.68 30271.6 32552.49
2 28942.03 15462.95 23420.94 28243.2 41962.03
3 16593.82 20861.43 19698.59 14150.62 41022.82
4 17536.35 19922.1 14380.02 25633.43 21517.97
5 24130.33 19357.38 22417.22 18313.18 48264.67
6 12901.88 28855.61 8392.24 24827.04 29031.61
7 15874.9 35942.53 22528.67 15744.41 37741.31
8 25940.4 14401.08 20258.47 28546 25130.89
9 19766.12 12927.54 23704.62 26546.16 41706.14
10 17267.89 25241.7 21379.85 21758.31 24881.16
11 16697.38 24473.89 19962.69 43772.79 25588.74
12 22554.96 19460.13 22402.88 13417.07 44677.96
13 16820.63 17292.73 8594.94 21194.54 33899.27
14 28595.04 26163.66 21244.18 17643.04 14775.36
15 14237.03 11247.64 25297.14 23412.45 17329.16
16 22692.5 25492.39 26659.62 26919.31 31425.38
17 18778.16 18479.64 17813.46 19619.51 31944.83
18 19286.29 31793.32 14540.95 25494.16 32582.35
19 21635.53 19485.07 25150.02 31451.69 27536
20 24024.26 17995.75 28884.37 19168.7 29028.62
21 13148.77 8409.69 17948.45 27564.43 26675.74
22 9552.23 24652.22 24002.79 36476.33 37032.98
23 19641.23 16070.92 9928.16 18615.17 31417.1
24 27380.46 31338.3 27422.51 29289.89 17871.76
25 19168.95 13059.68 20315.03 26176.87 35985.74
26 17654.64 22765.51 16134.74 14972.99 24799.34
27 22231.27 32342.64 28174.33 24838.22 23187.7
28 23122.72 21674.42 11933.21 31432.24 34006.29
29 19789.93 14077.68 28725.37 18205.52 26073.66
30 29623.17 18421.23 20107.16 35123.57 27790.67
31 21050.31 25953.91 19036.21 20947.82 51937.07
32 24485.85 16740.58 31214.31 28346.61 26669
33 12635.14 27317.5 18381.73 15910.71 14611.19
34 22059.09 28724.37 19247.09 16336.67 37380.25
35 21964.03 25554.69 25454.44 29091.99 25078.84
36 28399.87 22825.78 18707.57 31222.29 29769.54
37 17673.01 15423.29 22894.69 17845.2 36360.53
38 20066.82 40571.55 30441.58 33464.29 33536.61
39 23750.14 31114.97 19356.71 15420.35 20195.95
40 16147.08 31007.21 20607.34 33828.31 11441.48
41 19798.77 16254.98 25158.29 20921.25 36683.9
42 30399.79 23732.56 10696.01 21331.48 18768.86
43 29238.88 22293.43 22278.68 32690.05 28734.33
44 13591.58 28074.6 9218.94 19532.84 26805.65
45 17376.73 14054.78 31861.78 35142.85 20298.15
46 18934.5 20513.53 17323.43 12993.68 39550.56
47 26542.39 23485.03 35181.96 19917.05 30801.86
48 17318.73 19081.86 16689.65 10925.33 22315.1
49 17341.17 17237.95 26965.59 28060.33 32070.45
50 11198.35 21335.02 25552.06 34575.28 30454.53
51 12182.36 18815.51 33280.11 14537.51 14076.77
52 28334.03 26473.17 18572.81 30737.92 28926.39
53 14178.94 19692.77 26442.09 20612.57 29702.84
54 19924.85 25054.43 11691.29 23995.23 21997.28
55 18018.61 35156.37 21861.18 30961.74 31764.69
56 17766.14 23386.65 23210.76 25737.38 44903.34
57 9233.92 11306.06 14970.18 27432.84 23828.91
58 21060.42 13464.72 11246.65 18815.65 34336.49
59 19156.64 27076.15 16828.13 27629.14 29226.94
60 15501.27 17244.85 16605.54 14731.85 18695.37
61 18807.24 14091.67 20427.59 32041.59 33336.24
62 22688.78 22694.14 27136.65 20839.14 23817
63 17104.89 22348.47 6988.31 21024.09 25265.71
64 13482.77 14898.22 23995.96 20400.52 31143.2
65 22229.44 18300.22 17922.41 26103.93 25944.15
66 23201.65 18600.25 22604.28 19493.08 25917.3
67 20920.81 20991.08 33855.38 30498.21 22143.15
68 24833.24 17799.12 12465.54 25226.79 26611.3
69 18159.61 20135.05 19830.95 19402.39 25827
70 22213.73 18389.99 21654.36 26228.38 30434.21
71 16702.31 13472.19 21549.31 29933.17 31808.92
72 15418.17 19020.19 22210.69 11571.63 34015.35
73 20534.13 25598.87 18402.14 46575.86 31625.81
74 17930.75 24702.73 12266.46 24322.07 51735.72
75 16811.88 25572.89 26627.33 32233.26 19219.87
76 33801.44 21186.49 10943.56 12259.24 26624.83
77 12607.06 21133.3 20584.27 35225.35 43344.84
78 11872.29 26190.91 13338.79 23214.5 21910.76
79 21412.36 23449.45 15750.48 30152.16 40559.51
80 17305.76 22098.4 13176.38 16462.3 20087.58
81 31625.2 21796.38 27527.98 27499.6 58153.11
82 25339.98 22672.88 20533.6 24195.71 30748.31
83 24825.03 13386.11 27976.05 21430.71 24830.48
84 21657.58 11491.07 16270.7 11254.07 23392.81
85 26209.17 18126.52 26094.78 30543.96 47266.95
86 25059.94 26936.28 11239.08 13246.74 20617
87 14939.44 24229.48 19665.13 26514.91 36904.27
88 18888.41 14539.37 15049.06 35103.16 11761.7
89 23373.98 24647.48 24013.8 23453.37 49971.44
90 24450.28 7279.07 20104.66 30736.34 12611.18
