  Time         h1-eth0      
HH:MM:SS   Kbps in  Kbps out
08:07:45     11.81      0.51
08:07:46    424.50     18.11
08:07:47    247.54     10.20
08:07:48    425.44     17.52
08:07:49      0.00      0.00
08:07:50      0.00      0.00
08:07:51      0.00      0.00
08:07:52    212.60      9.92
08:07:53     11.81      0.61
08:07:54      0.00      0.00
08:07:55     59.10      2.92
08:07:56      0.00      0.00
08:07:57      0.00      0.00
08:07:58    117.09      4.21
08:07:59    301.44      7.91
08:08:00      0.00      0.00
08:08:01    279.89      9.03
08:08:02    655.81     20.36
08:08:03    753.83     19.85
08:08:04     35.43      1.89
08:08:05     59.06      3.17
08:08:06    364.62     14.99
08:08:07      0.00      0.00
08:08:08      0.00      0.00
08:08:09      0.00      0.00
08:08:10    175.12      5.95
08:08:11      0.00      0.00
08:08:12      0.00      0.00
08:08:13      0.00      0.00
08:08:14      0.00      0.00
08:08:15      0.00      0.00
08:08:16      0.00      0.00
08:08:17      0.00      0.00
08:08:18      0.00      0.00
08:08:19     11.81      0.61
08:08:20      0.00      0.00
08:08:21      0.00      0.00
08:08:22      0.00      0.00
08:08:23      0.00      0.00
08:08:24      0.00      0.00
08:08:25      0.00      0.00
08:08:26      0.00      0.00
08:08:27      0.00      0.00
08:08:28      0.00      0.00
08:08:29      0.00      0.00
08:08:30      0.00      0.00
08:08:31      0.00      0.00
08:08:32     11.81      0.67
08:08:33      0.00      0.00
08:08:34      0.00      0.00
08:08:35      0.00      0.00
08:08:36      0.00      0.00
08:08:37      0.00      0.33
08:08:38      0.00      0.33
08:08:39      0.33      0.33
08:08:40      0.00      0.00
08:08:41      0.00      0.00
08:08:42      0.00      0.00
08:08:43      0.00      0.00
08:08:44      0.00      0.00
08:08:45      0.00      0.00
08:08:46      0.00      0.00
08:08:47      0.00      0.00
08:08:48      0.00      0.00
08:08:49      0.00      0.00
08:08:50      0.00      0.00
08:08:51      0.00      0.00
08:08:52      0.00      0.00
