  Time         h1-eth0      
HH:MM:SS   Kbps in  Kbps out
07:54:16    247.37      8.21
07:54:17    215.09      4.81
07:54:18    654.16     16.54
07:54:19    624.38      6.48
07:54:20    459.98      7.44
07:54:21    654.31     15.60
07:54:22    449.36      4.49
07:54:23    549.43     19.72
07:54:24    189.47      2.42
07:54:25    320.87      4.65
07:54:26    107.45      2.75
07:54:27    212.62      1.45
07:54:28    119.09      1.76
07:54:29    259.64      7.69
07:54:30    191.88      4.99
07:54:31    263.25     11.38
07:54:32    204.20      7.37
07:54:33    161.77      2.45
07:54:34    181.07      6.91
07:54:35    168.28      6.90
07:54:36    118.60      2.73
07:54:37     72.34      1.79
07:54:38    119.60      7.88
07:54:39    106.34      0.48
07:54:40    114.59      0.52
07:54:41    145.62      5.76
07:54:42    181.06      8.97
07:54:43    107.76      3.56
07:54:44    230.24     11.84
07:54:45    188.98      1.00
07:54:46    158.15      0.48
07:54:47     82.69      0.48
07:54:48     43.63      0.48
07:54:49    155.50      5.35
07:54:50    224.44      0.00
07:54:51     71.36      4.17
07:54:52    179.13      8.65
07:54:53    119.20      2.73
07:54:54    141.75      0.00
07:54:55     59.55      1.12
07:54:56    165.63      7.37
07:54:57    216.99     11.08
07:54:58    215.54      6.63
07:54:59    179.11      5.63
07:55:00    189.00      0.97
07:55:01    175.50      4.48
07:55:02    265.19     14.12
07:55:03    224.44      0.97
07:55:04    141.76      0.00
07:55:05     97.41      5.45
07:55:06    189.68      2.09
07:55:07    176.97      6.76
07:55:08    165.38      0.51
07:55:09    141.75      0.00
07:55:10     70.88      0.81
07:55:11     94.83      0.81
07:55:12     83.66      3.07
07:55:13    142.37      1.61
07:55:14    155.50      7.52
07:55:15    205.08      8.98
07:55:16    237.95     13.00
07:55:17    204.37      7.40
07:55:18    167.32      4.68
07:55:19    227.36      9.13
07:55:20    284.70     10.44
07:55:21    250.00      5.93
07:55:22    261.81      4.53
07:55:23    272.41     10.56
07:55:24    189.98      3.73
07:55:25    165.87      1.15
07:55:26     82.69      0.97
07:55:27    191.56      7.68
07:55:28    226.39      5.84
07:55:29    211.92      8.01
07:55:30    250.04      4.96
07:55:31    272.67      3.70
07:55:32    218.00      9.29
07:55:33    173.57      2.09
07:55:34    239.35     10.73
07:55:35    300.63     15.40
07:55:36    357.53     13.12
07:55:37    345.48      8.40
07:55:38    285.92      6.41
07:55:39    261.57     10.41
07:55:40    178.15      2.76
07:55:41    278.94     13.48
07:55:42    460.46     10.77
07:55:43    427.64      8.82
07:55:44    414.17     12.02
07:55:45    466.49     15.12
07:55:46    565.80     11.41
07:55:47    489.63     14.29
07:55:48    280.36      5.20
07:55:49    332.66      6.26
07:55:50    355.34      4.37
07:55:51    330.51      7.54
07:55:52    490.13     12.53
07:55:54    339.43      1.12
07:55:55    344.02      4.17
07:55:56    535.27      9.38
07:55:57    320.39      7.22
07:55:58    283.51      0.00
07:55:59    177.19      0.48
07:56:00     91.85      2.92
07:56:01    153.56      1.97
07:56:02    284.44      5.45
07:56:03    215.53      7.21
07:56:04    297.02     14.79
07:56:05    203.23      7.24
07:56:06    189.98      4.01
07:56:07    252.31      9.13
07:56:08    248.64      9.49
07:56:09    202.94      4.75
07:56:10    286.41      8.04
07:56:11    381.29     15.56
07:56:12    311.97     12.08
07:56:13    201.95      3.28
07:56:14    129.94      0.48
07:56:15    140.55      5.45
07:56:16    185.37      1.45
07:56:17    114.51      0.00
07:56:18     96.44      5.45
07:56:19    239.63      8.52
07:56:20    192.26      5.32
07:56:21    273.74      8.64
07:56:22    190.49      4.04
07:56:23    254.11     11.28
07:56:24    274.11      5.96
07:56:25    246.45      4.04
07:56:26    141.75      0.48
07:56:27    144.17      7.37
07:56:28    252.90     10.28
07:56:29    239.63      8.33
07:56:30    164.18      6.26
07:56:31    108.25      3.56
07:56:32    228.78     12.00
07:56:33    277.49     14.73
07:56:34    198.00      5.62
07:56:35    193.34     10.59
07:56:36    242.06     13.00
07:56:37    346.19     17.45
07:56:38    263.72      6.60
07:56:39    288.34      8.52
07:56:40    213.11      2.28
07:56:41    212.51      7.91
07:56:42    200.82      0.97
07:56:43    227.34      8.52
07:56:44    673.04      9.81
07:56:45    378.97      5.65
07:56:46    498.39      6.94
07:56:47    601.69      7.86
07:56:48    656.69      8.33
07:56:49    404.16      5.65
07:56:50    441.93     11.86
07:56:51    258.89      5.81
07:56:52    213.11      1.92
07:56:53    272.66      3.85
07:56:54    163.68      6.44
07:56:55    155.62      4.81
07:56:56    241.09     10.41
07:56:57    369.09      8.64
07:56:58    402.08      9.62
07:56:59    300.64      9.16
07:57:00    256.74      2.57
07:57:01    276.52      8.80
07:57:02    226.86      6.44
07:57:03    189.97      3.89
07:57:04    175.50      5.48
07:57:05    230.24      9.92
07:57:06    153.56      1.00
07:57:07    106.31      0.48
07:57:08    167.80      5.45
07:57:09    258.20      7.37
07:57:10    227.33      8.97
07:57:11    189.49      1.12
07:57:12    190.45      5.48
07:57:13    203.07      5.29
07:57:14    283.75     11.84
07:57:15    225.89      5.01
07:57:16    252.88     13.28
07:57:17    259.16      7.85
07:57:18    325.72     14.31
07:57:19    262.28      6.63
07:57:20    245.89      4.68
07:57:21    209.98      4.81
07:57:22    238.17      6.72
07:57:23    226.86      8.36
07:57:24    143.69      5.48
07:57:25    214.31     11.05
07:57:26    130.27      2.29
07:57:27    157.92      6.24
07:57:28    118.12      0.51
07:57:29    166.83      6.09
07:57:30    226.63     11.36
07:57:31    359.67     11.84
07:57:32    311.98     15.92
07:57:33    154.05      2.57
07:57:34    224.67      9.95
07:57:35    214.56      7.24
07:57:36    426.00     10.16
07:57:37    348.12      6.24
07:57:38    604.86      7.07
07:57:39    200.81      0.97
07:57:40    423.09      5.82
07:57:41    541.17      6.74
07:57:42    484.80      2.09
07:57:43    614.01     10.30
07:57:44    542.11     10.94
07:57:45    284.47      6.16
07:57:46    188.98      0.48
07:57:47    240.60     12.17
07:57:48    259.16      5.80
07:57:49    204.18      6.57
07:57:50    274.11      6.41
07:57:51    247.81      5.93
07:57:52    260.82      3.89
07:57:53    214.07      7.38
07:57:54    153.89      0.33
07:57:55     95.96      4.96
07:57:56    204.20      9.49
07:57:57    197.20      0.00
07:57:58     96.43      4.96
07:57:59    287.86     14.40
07:58:00    371.03     12.97
07:58:01    246.36      7.54
07:58:02    120.06      4.53
07:58:03    154.05      3.37
07:58:04    357.74      9.19
07:58:05    389.58      9.46
07:58:06    456.95     12.05
07:58:07    317.08      4.34
07:58:08    275.11      9.93
07:58:09    311.96     13.36
07:58:10    182.22      2.25
07:58:11    287.86      8.01
07:58:12    272.18      1.12
07:58:13    249.98      5.87
07:58:14    234.08      5.65
07:58:15    342.33     12.48
07:58:16    248.53      2.25
07:58:17    118.12      0.48
07:58:18    201.78      2.43
07:58:19    416.09     16.35
07:58:20    346.44      9.61
07:58:21    260.85      2.89
07:58:22    235.53      6.73
07:58:23    310.51      7.72
07:58:24    241.09     11.20
07:58:25    627.73     13.29
07:58:26    248.55      5.77
07:58:27    513.97      7.16
07:58:28    972.71     21.07
07:58:29    611.60      5.96
07:58:30    765.65      9.80
07:58:31    733.55      7.80
07:58:32    647.04      6.65
07:58:33    685.71     10.63
07:58:34    363.49      1.28
07:58:35    449.83      6.46
07:58:36    279.88      1.93
07:58:37    138.12      0.48
07:58:38    154.05      3.89
07:58:39    275.56      8.01
07:58:40    240.58      7.69
07:58:41    212.39      7.40
07:58:42    239.15      7.21
07:58:43    169.25      7.91
07:58:44    189.00      1.61
07:58:45    165.14      7.40
07:58:46     96.43      5.84
07:58:47    142.08      0.81
07:58:48    132.20      5.77
07:58:49    167.78      6.24
07:58:50    155.83      5.17
07:58:51    143.20      3.07
07:58:52    201.53      7.40
07:58:53    314.86     13.95
07:58:54    362.59     15.88
07:58:55    499.31     17.76
07:58:56    462.88     13.20
07:58:57    295.80      4.01
07:58:58    371.50     11.69
07:58:59    330.04      6.73
07:59:00    332.21      5.31
07:59:01    189.00      0.00
07:59:02     60.03      3.68
07:59:03    303.08     14.31
07:59:04    295.55      8.97
07:59:05    201.77      1.76
07:59:06    237.22      3.53
07:59:07    226.36      5.93
07:59:08    175.98      7.40
07:59:09    251.46      8.33
07:59:10    177.66      2.40
07:59:11    165.86      2.28
07:59:12    179.45      7.72
07:59:13    248.29     10.41
07:59:14    272.66      3.04
