Time(s) TCP(Kbps) UDT(Kbps)
1 0 106.32
2 0 166.32
3 0 165.38
4 0 47.25
5 0 227.33
6 0 276.74
7 0 154.53
8 0 142.72
9 0 180.09
10 0 250.96
11 0 425.48
12 0 272.65
13 0 155.5
14 0 189.46
15 0 246.86
16 0 201.78
17 0 190.44
18 0 190.45
19 0 308.36
20 0 226.35
21 0 405.01
22 0 349.07
23 0 149.94
24 0 173.57
25 0 285.92
26 0 238.17
27 0 178.15
28 0 185.38
29 0 94.99
30 0 189.98
31 0 141.75
32 0 47.25
33 0 118.12
34 0 129.94
35 0 121.34
36 0 131.38
37 0 94.5
38 0 106.33
39 0 83.5
40 0 71.36
41 0 0
42 0 0.33
43 0 296.38
44 0 119.09
45 0 118.61
46 0.55 95.47
47 0 120.05
48 0 168.77
49 0 94.5
50 0 94.5
51 0 94.98
52 0 47.73
53 0 80.03
54 1.09 95.95
55 0 143.69
56 0 189.48
57 0 177.67
58 1.58 70.87
59 0.33 179.59
60 0 152.36
61 0 106.31
62 0 118.13
63 0 132.84
64 0 154.53
65 0 169.23
66 0 119.09
67 0 102.69
68 0 90.88
69 0 90.88
70 0 71.84
71 0 131.87
72 0 119.09
73 0 157.43
74 0 155.02
75 0 131.45
76 0 90.88
77 0 103.02
78 0 90.88
79 0 59.06
80 0 60.51
81 0 94.5
82 0 120.55
83 0 107.27
84 0 118.12
85 0 106.31
86 0 96.91
87 0 155.5
88 0 114.51
89 0 70.87
90 0 106.31
91 0 35.44
92 0 103.23
93 0 168.76
94 0 237.7
95 0 248.87
96 0 225.4
97 0 222.27
98 0 94.5
99 0 161.75
100 0 108.25
101 0 143.68
102 0 118.61
103 0 130.42
104 0 109.96
105 0 129.93
106 0 102.69
107 0 82.69
108 0 55.44
109 0 60.51
110 0 95.47
111 0 71.36
112 0 60.03
113 0 73.78
114 0 83.17
115 0 119.45
116 0 144.65
117 0 71.43
118 0 143.69
119 0 127.29
120 0 120.06
121 0 118.61
122 0 107.28
123 0 118.12
124 0 48.22
125 0 95.47
126 0 163.2
127 0 139.1
128 0 94.55
129 0 94.5
130 0 70.93
131 0 72.33
132 0 145.14
133 0 119.09
134 0 130.42
135 0 169.24
136 0 186.35
137 0.33 130.42
138 0 216.01
139 0 106.89
140 0 141.81
141 0 82.68
142 0 59.55
143 0 190.21
144 0 190.45
145 0 118.13
146 0 59.39
147 0 94.5
148 0 129.94
149 0 59.06
150 0 70.87
151 0 143.68
152 0 180.09
153 0 144.65
154 0 119.14
155 0 91.21
156 0 119.2
157 0 107.77
158 0 131.39
159 0 118.6
160 0 118.13
161 0.55 119.58
162 0 95.46
163 0 143.69
164 0 141.03
165 0 107.77
166 0 109.21
167 0 107.28
168 0 70.87
169 0 70.88
170 0 82.69
171 0.55 35.44
172 0 60.51
173 0 59.55
174 0 108.73
175 0 83.17
176 0 80.52
177 0 47.25
178 0 59.55
179 0 84.63
180 0 95.47
181 0 83.17
182 0 94.98
183 0 109.21
184 0 204.2
185 0 150.43
186 3.17 226.85
187 0 189.49
188 0 130.42
189 0 118.12
190 0 179.12
191 0 142.23
192 0 114.98
193 0 215.53
194 0 192.38
195 0 228.62
196 0.55 94.5
197 0 130.75
198 0 175.98
199 0 165.86
200 0 215.04
201 0 260.83
202 0 130.42
203 0 59.06
204 0 187.8
205 0 118.61
206 0 130.91
207 0 130.9
208 0 119.58
209 0 120.54
210 0 132.35
211 0 162.72
212 0 154.53
213 0 155.97
214 0 130.91
215 0 118.12
216 0 118.12
217 0 108.25
218 0 175.5
219 0 166.34
220 0 106.31
221 0 94.5
222 0 106.3
223 0 130.42
224 0 82.69
225 0 70.88
226 0 106.8
227 0 156.95
228 0 107.28
229 0 118.61
230 0 162.73
231 0 143.19
232 0 118.61
233 0 119.58
234 0 129.93
235 0 73.14
236 0 130.42
237 0 118.12
238 0 106.8
239 0 79.55
240 0 90.88
241 0 71.84
242 0 129.94
243 0 95.95
244 0 155.98
245 0 106.84
246 0 141.75
247 0 94.58
248 0 97.25
249 0 139.43
250 0 103.01
251 0 47.25
252 0 84.47
253 0 118.12
254 0 120.54
255 0 202.26
256 0 202.75
257 0 162.72
258 0.33 106.31
259 0.33 143.2
260 0 154.05
261 0 144.5
262 0 118.12
263 0 155.5
264 0 164.66
265 0 143.21
266 0 130.42
267 0 94.5
268 0 107.28
269 0 129.94
270 0 107.28
271 0 106.79
272 0 94.5
273 0 71.36
274 0 82.69
275 0 70.87
276 0 31.82
277 0 96.91
278 0 95.47
279 0 119.09
280 0 120.05
281 0 132.36
282 0 106.79
283 0 130.76
284 0 140.07
285 0 132.04
286 0 84.13
287 0 119.09
288 0 120.12
289 0 107.75
290 0 106.79
291 0 106.31
292 0 70.87
293 0 82.69
294 0 48.22
295 0 87.74
296 0 67.74
297 0 108.73
298 0 144.16
299 0 130.9
300 0 108.25
