Time(s) TCP(Kbps) UDT(Kbps)
1 0 153.57
2 0 23.63
3 0 130.41
4 0 59.06
5 47.25 47.25
6 0 131.39
7 0 129.94
8 11.81 103.66
9 0 142.72
10 0 154.05
11 0 153.55
12 0 141.75
13 0.33 59.06
14 0 70.87
15 0 143.2
16 0 106.31
17 0 95.95
18 0 205.87
19 0 245.25
20 0 284.47
21 0 142.23
22 0 129.94
23 0 165.86
24 0 130.75
25 0 71.36
26 0 401.23
27 0 296.77
28 0 201.78
29 0 166.33
30 0 146.8
31 0 95.47
32 0 189.97
33 0 83.66
34 0 154.05
35 0 70.87
36 11.81 130.42
37 0 106.8
38 0 141.74
39 0 127.28
40 35.44 67.26
41 0.33 59.06
42 0 47.73
43 0 82.69
44 105.28 83.17
45 0 83.65
46 0 154.53
47 0 121.02
48 0 131.39
49 0 114.99
50 0 43.63
51 0 71.36
52 0 79.55
53 0 71.84
54 0 82.69
55 0 35.92
56 0 94.99
57 0 119.58
58 0 119.09
59 0 59.55
60 0 70.87
61 47.25 71.2
62 0 59.54
63 0 106.31
64 0 59.08
65 0 126.8
66 23.62 95.54
67 11.81 143.2
68 0 129.94
69 0 129.94
70 0 129.94
71 0 60.03
72 0 143.68
73 0 118.61
74 0 71.36
75 0 71.2
76 0 90.88
77 0 47.58
78 0 47.25
79 0 79.07
80 0 60.03
81 0 83.17
82 23.62 47.25
83 0 70.88
84 0 94.98
85 0 108.25
86 0 83.17
87 0 106.31
88 0 72.33
89 0.33 84.14
90 0 106.79
91 0 79.07
92 0 70.88
93 0 60.51
94 0 47.73
95 0 71.84
96 0 60.03
97 0 70.88
98 0 132.84
99 0 155.97
100 0 155.6
101 0 124.15
102 0 130.97
103 0 114.57
104 0 119.42
105 0 82.75
106 0 94.5
107 0 119.15
108 0 154.53
109 0 118.61
110 0 118.13
111 0 114.99
112 0 118.61
113 0 119.09
114 0 130.42
115 0 110.8
116 0 142.72
117 0 106.8
118 0 131.87
119 0 166.83
120 0 127.28
121 0 129.94
122 0 94.98
123 0 118.12
124 0 118.12
125 0 71.69
126 0 95.47
127 0 106.31
128 0 130.41
129 0 72.81
130 0 95.47
131 0 100.04
132 0 60.03
133 0 82.69
134 0 84.62
135 0 132.36
136 0 83.17
137 0 95.46
138 0 119.09
139 0 142.23
140 0 96.43
141 0 96.49
142 0 141.75
143 0 163.69
144 0 190.45
145 0 94.54
146 0 94.5
147 0 47.29
148 0 47.25
149 0 83.98
150 0 119.09
151 0 70.87
152 0 91.36
153 0 47.73
154 0 47.73
155 0 47.73
156 0 95.47
157 0 70.88
158 0 71.84
159 0 83.17
160 11.81 71.36
161 0 59.55
162 0 83.17
163 0 70.87
164 0 59.06
165 0 70.88
166 0.33 11.81
167 0.33 95.95
168 0 76.41
169 0 82.69
170 0 82.69
171 0 47.57
172 0 71.2
173 0 36.73
174 0 47.25
175 0 59.06
176 0 82.69
177 0 59.07
178 0 47.25
179 0 82.69
180 0 23.62
181 0 82.69
182 0 35.44
183 0 94.5
184 0 71.37
185 0 83.17
186 0 95.95
187 0 107.28
188 0 143.2
189 0 59.54
190 0 87.74
191 0 118.61
192 0 119.09
193 0 70.88
194 0 59.39
195 0 82.68
196 0 35.44
197 0 47.25
198 0 59.06
199 0 83.66
200 0 83.17
201 0 107.27
202 0 156.46
203 0 115.47
204 0 130.9
205 0 94.5
206 0 82.69
207 0 47.25
208 0 94.5
209 0 70.88
210 0 71.35
211 0 59.55
212 0 59.06
213 0 118.61
214 0 59.06
215 0 59.55
216 0 71.36
217 0 83.5
218 0 83.5
219 0 91.36
220 0 47.73
221 0 44.11
222 0 107.76
223 0 70.88
224 0 95.47
225 0 95.46
226 0 71.84
227 0 71.36
228 0 72.81
229 0 83.17
230 0 84.14
231 0 94.98
232 0 67.74
233 0 83.17
234 0 59.06
235 0 106.8
236 0 118.12
237 0 59.06
238 0 154.53
239 0 83.02
240 0 107.28
241 0 130.42
242 0.33 156.46
243 0 114.98
244 0 95.47
245 0 118.61
246 0 70.87
247 0 71.36
248 0 106.31
249 0 70.87
250 0 95.47
251 0 131.39
252 0 143.19
253 0 91.84
254 0 142.23
255 0 36.41
256 0 83.66
257 0 95.47
258 0 60.03
259 0 107.77
260 0 118.94
261 0 23.95
262 0 59.06
263 0 47.73
264 0 70.87
265 0 44.11
266 0 59.06
267 0 67.25
268 0 106.8
269 0 120.07
270 0 47.25
271 0 59.06
272 0 59.55
273 0 70.87
274 0 72.33
275 0 84.14
276 0 107.28
277 0 142.23
278 0 127.29
279 0 106.79
280 0 178.64
281 0 106.31
282 0 82.68
283 0 132.36
284 0 106.31
285 0 94.82
286 0 83.17
287 0 94.98
288 0 115.95
289 0 142.72
290 0 154.05
291 0 94.5
292 0 96.44
293 0 165.38
294 0 118.12
295 0 189.97
296 0 79.55
297 0 106.79
298 0 119.58
299 0 83.17
