  Time         h1-eth0      
HH:MM:SS   Kbps in  Kbps out
08:58:48    153.57      1.00
08:58:49     23.63      1.76
08:58:50    130.41      1.03
08:58:51     59.06      0.48
08:58:52     47.25      1.76
08:58:53    131.39      4.96
08:58:54    129.94      0.48
08:58:55    103.66      5.12
08:58:56    142.72      4.04
08:58:57    154.05      2.43
08:58:58    153.55      0.97
08:58:59    141.75      0.00
08:59:00     59.06      0.48
08:59:01     70.87      0.48
08:59:02    143.20      6.93
08:59:03    106.31      2.12
08:59:04     95.95      8.21
08:59:05    205.87      3.53
08:59:06    245.25     18.16
08:59:07    284.47     12.08
08:59:08    142.23      1.64
08:59:09    129.94      0.48
08:59:10    165.86      4.01
08:59:11    130.75      3.25
08:59:12     71.36      2.25
08:59:13    401.23     11.13
08:59:14    296.77      7.21
08:59:15    201.78     10.77
08:59:16    166.33      5.99
08:59:17    146.80      2.61
08:59:18     95.47      4.17
08:59:19    189.97      7.57
08:59:20     83.66      5.35
08:59:21    154.05      1.64
08:59:22     70.87      3.20
08:59:23    130.42      8.83
08:59:24    106.80      4.20
08:59:25    141.74      1.00
08:59:26    127.28      8.04
08:59:27     67.26      0.48
08:59:28     59.06      0.97
08:59:29     47.73      1.64
08:59:30     82.69      0.00
08:59:31     83.17      3.53
08:59:32     83.65      3.68
08:59:33    154.53      4.01
08:59:34    121.02      6.79
08:59:35    131.39      5.96
08:59:36    114.99      2.61
08:59:37     43.63      0.48
08:59:38     71.36      3.04
08:59:39     79.55      6.09
08:59:40     71.84      3.56
08:59:41     82.69      0.97
08:59:42     35.92      2.40
08:59:43     94.99      1.12
08:59:44    119.58      6.24
08:59:45    119.09      4.01
08:59:46     59.55      3.53
08:59:47     70.87      0.84
08:59:48     71.20      0.81
08:59:49     59.54      3.68
08:59:50    106.31      0.48
08:59:51     59.08      1.76
08:59:52    126.80      6.73
08:59:53     95.54      2.92
08:59:54    143.20      6.12
08:59:55    129.94      0.48
08:59:56    129.94      0.48
08:59:57    129.94      0.00
08:59:58     60.03      3.68
08:59:59    143.68      4.65
09:00:00    118.61      1.67
09:00:01     71.36      2.56
09:00:02     71.20      1.30
09:00:03     90.88      0.51
09:00:04     47.58      0.81
09:00:05     47.25      0.48
09:00:06     79.07      0.00
09:00:07     60.03      3.84
09:00:08     83.17      2.09
09:00:09     47.25      0.97
09:00:10     70.88      0.48
09:00:11     94.98      2.92
09:00:12    108.25      5.32
09:00:13     83.17      3.71
09:00:14    106.31      0.97
09:00:15     72.33      6.09
09:00:16     84.14      5.32
09:00:17    106.79      5.45
09:00:18     79.07      0.97
09:00:19     70.88      0.48
09:00:20     60.51      3.68
09:00:21     47.73      2.76
09:00:22     71.84      3.20
09:00:23     60.03      4.35
09:00:24     70.88      2.09
09:00:25    132.84      8.80
09:00:26    155.97      6.44
09:00:27    155.60      6.76
09:00:28    124.15      4.37
09:00:29    130.97      3.85
09:00:30    114.57      8.85
09:00:31    119.42      3.85
09:00:32     82.75      0.00
09:00:33     94.50      0.00
09:00:34    119.15      4.65
09:00:35    154.53      5.84
09:00:36    118.61      1.76
09:00:37    118.13      0.48
09:00:38    114.99      2.73
09:00:39    118.61      3.53
09:00:40    119.09      3.56
09:00:41    130.42      5.45
09:00:42    110.80      6.88
09:00:43    142.72      3.71
09:00:44    106.80      2.43
09:00:45    131.87      5.48
09:00:46    166.83      7.37
09:00:47    127.28      4.01
09:00:48    129.94      0.48
09:00:49     94.98      3.07
09:00:50    118.12      0.51
09:00:51    118.12      0.55
09:00:52     71.69      3.89
09:00:53     95.47      1.79
09:00:54    106.31      0.00
09:00:55    130.41      7.05
09:00:56     72.81      4.20
09:00:57     95.47      4.32
09:00:58    100.04      7.40
09:00:59     60.03      7.88
09:01:00     82.69      2.92
09:01:01     84.62      6.09
09:01:02    132.36      5.45
09:01:03     83.17      5.45
09:01:04     95.46      6.76
09:01:05    119.09      2.28
09:01:06    142.23      6.73
09:01:07     96.43      4.23
09:01:08     96.49      4.35
09:01:09    141.75      0.51
09:01:10    163.69      9.47
09:01:11    190.45      8.66
09:01:12     94.54      1.30
09:01:13     94.50      0.33
09:01:14     47.29      0.84
09:01:15     47.25      0.33
09:01:16     83.98     17.13
09:01:17    119.09      3.25
09:01:18     70.87      0.97
09:01:19     91.36      4.17
09:01:20     47.73      1.28
09:01:21     47.73      2.40
09:01:22     47.73      2.40
09:01:23     95.47      4.32
09:01:24     70.88      2.25
09:01:25     71.84      2.40
09:01:26     83.17      1.76
09:01:27     71.36      1.79
09:01:28     59.55      3.68
09:01:29     83.17      1.61
09:01:30     70.87      0.48
09:01:31     59.06      1.48
09:01:32     70.88      0.00
09:01:33     11.81      0.97
09:01:34     95.95      3.20
09:01:35     76.41      4.01
09:01:36     82.69      0.00
09:01:37     82.69      0.48
09:01:38     47.57      0.84
09:01:39     71.20      0.81
09:01:40     36.73      2.61
09:01:41     47.25      0.97
09:01:42     59.06      0.48
09:01:43     82.69      0.97
09:01:44     59.07      0.00
09:01:45     47.25      0.48
09:01:46     82.69      0.00
09:01:47     23.62      0.48
09:01:48     82.69      0.00
09:01:49     35.44      0.97
09:01:50     94.50      0.00
09:01:51     71.37      4.32
09:01:52     83.17      3.37
09:01:53     95.95      5.48
09:01:54    107.28      4.99
09:01:55    143.20      5.96
09:01:56     59.54      5.63
09:01:57     87.74      2.15
09:01:58    118.61      4.99
09:01:59    119.09      6.48
09:02:00     70.88      0.81
09:02:01     59.39      0.81
09:02:02     82.68      0.97
09:02:03     35.44      0.97
09:02:04     47.25      0.00
09:02:05     59.06      0.48
09:02:06     83.66      4.35
09:02:07     83.17      3.53
09:02:08    107.27      4.96
09:02:09    156.46      8.49
09:02:10    115.47      6.44
09:02:11    130.90      3.20
09:02:12     94.50      1.45
09:02:13     82.69      0.00
09:02:14     47.25      0.48
09:02:15     94.50      0.00
09:02:16     70.88      0.48
09:02:17     71.35      1.76
09:02:18     59.55      2.76
09:02:19     59.06      0.48
09:02:20    118.61      1.12
09:02:21     59.06      0.48
09:02:22     59.55      5.17
09:02:23     71.36      6.09
09:02:24     83.50      4.56
09:02:25     83.50      5.45
09:02:26     91.36      4.04
09:02:27     47.73      3.84
09:02:28     44.11      1.28
09:02:29    107.76      5.45
09:02:30     70.88      1.45
09:02:31     95.47      6.24
09:02:32     95.46      3.53
09:02:33     71.84      4.81
09:02:34     71.36      4.07
09:02:35     72.81      4.35
09:02:36     83.17      1.61
09:02:37     84.14      3.53
09:02:38     94.98      5.48
09:02:39     67.74      5.45
09:02:40     83.17      2.43
09:02:41     59.06      1.48
09:02:42    106.80      0.64
09:02:43    118.12      0.48
09:02:44     59.06      2.40
09:02:45    154.53      4.84
09:02:46     83.02      2.75
09:02:47    107.28      5.76
09:02:48    130.42      6.88
09:02:49    156.46      6.73
09:02:50    114.98      2.15
09:02:51     95.47      3.68
09:02:52    118.61      4.20
09:02:53     70.87      1.45
09:02:54     71.36      3.04
09:02:55    106.31      0.97
09:02:56     70.87      0.00
09:02:57     95.47      4.17
09:02:58    131.39      5.76
09:02:59    143.19      5.93
09:03:00     91.84      4.81
09:03:01    142.23      3.53
09:03:02     36.41      5.93
09:03:03     83.66      3.56
09:03:04     95.47      6.09
09:03:05     60.03      5.63
09:03:06    107.77      5.93
09:03:07    118.94      5.31
09:03:08     23.95      1.30
09:03:09     59.06      0.97
09:03:10     47.73      1.12
09:03:11     70.87      0.64
09:03:12     44.11      5.48
09:03:13     59.06      0.97
09:03:14     67.25      0.48
09:03:15    106.80      5.63
09:03:16    120.07      5.13
09:03:17     47.25      0.97
09:03:18     59.06      1.45
09:03:19     59.55      4.81
09:03:20     70.87      0.97
09:03:21     72.33      3.20
09:03:22     84.14      4.87
09:03:23    107.28      4.99
09:03:24    142.23      1.12
09:03:25    127.29      6.12
09:03:26    106.79      2.40
09:03:27    178.64      7.69
09:03:28    106.31      0.00
09:03:29     82.68      2.40
09:03:30    132.36      7.08
09:03:31    106.31      1.81
09:03:32     94.82      0.81
09:03:33     83.17      4.65
09:03:34     94.98      4.35
09:03:35    115.95      6.60
09:03:36    142.72      6.91
09:03:37    154.05      2.25
09:03:38     94.50      0.97
09:03:39     96.44      5.12
09:03:40    165.38      1.48
09:03:41    118.12      1.76
09:03:42    189.97      5.16
09:03:43     79.55      6.93
09:03:44    106.79      2.25
09:03:45    119.58      4.84
09:03:46     83.17      4.84
