Time(s) 10ms_Kbps 20ms_Kbps 30ms_Kbps 40ms_Kbps 50ms_Kbps 100ms_Kbps
1 6692.79 4394.15 2869.41 1458.93 1296.04 720.5
2 6756.18 4095.18 3435.3 1180.43 1065.14 577.94
3 8262.45 3470.89 3168.55 1700.19 789.54 693.76
4 7648.73 5840.21 2465.44 2625.52 1202.69 866.79
5 7183.43 5667.08 2152.24 3249.2 1376.89 971.11
6 8850.55 3343.03 2868.03 2534.08 1273.21 1018.29
7 6017.96 3286.51 3377.71 1738.17 1468.47 1132.98
8 5453.53 3988.75 2847.76 2196.75 1551.08 1237.22
9 8731.73 3139.46 2407.45 2174.24 2046.03 938.19
10 8260.28 3077.55 2832.98 1956.28 2198.12 798.03
11 13275.67 3043.27 3631.07 2752.8 2473.92 890.65
12 8895.6 4358.67 2903.56 1585.63 1414.41 994.19
13 5395.44 4617.56 2523.56 1873.73 1399.49 984.65
14 4514.62 5318.41 2756.34 2658.86 1907.19 744.22
15 6608.31 7193.43 2049.57 3401.98 2531.94 763.22
16 6026.59 3669.78 1713.33 3319.13 2312.36 843.89
17 7844.85 3066.75 2175.92 3031.23 2152.32 971.09
18 8494.24 3101.67 3112.06 3181.1 1587.08 1017.95
19 8172.81 5781.25 2604.78 2939.08 1667.68 972.42
20 6306.17 5620.49 2221.57 2810.3 1503.62 927.25
21 9358.4 2925.98 2337.14 2349.77 1366.5 1063.57
22 6515.53 3250.61 2822.82 2383.85 1203.89 1110.72
23 7748.07 4026.55 3804.27 1436.22 1043.09 1179.62
24 10687.69 3203.87 4462.05 1688 914.65 948.99
25 10005.65 4186.8 3832.56 1841.99 960.39 1225.18
26 10917.8 4245.21 2905.31 2404.7 1155.88 1214.04
27 6468.11 6730.57 4555.68 3158.98 1007.72 626.02
28 8847.96 5795.31 3123.42 3828.04 1215.17 416.97
29 9357.84 3261.91 3123.77 3101.73 1457.43 406.27
30 9596.67 3574.5 3933.9 3087.7 1711.69 520.75
31 11903.09 5088.04 3121.74 1690.93 2196.5 658.81
32 11415.85 4476.86 4084.51 1782.88 2716.87 797.5
33 8518.25 3851.45 2905.07 2092.01 1798.04 947.94
34 10487.68 2858.29 1749.13 3041.13 2119.46 1445.32
35 6975.84 2937.9 1366.01 2268.06 2716.6 1898.57
36 6259.97 4429.4 1402.95 1886.07 2788.34 1298.74
37 4571.29 4601.57 1759.37 2024.69 2778.65 775.4
38 8131.39 4370.08 1932.92 1783.9 2381.54 694.79
39 10401.62 5539.85 1931.66 2152.61 2440.38 844.22
40 7416.76 2904.36 2706.43 2278.81 1678.86 856.08
41 6308.47 3021.03 2362.78 1980.03 1872.93 971.1
42 6042.01 4972.88 2521.06 2001.04 2497.71 1109.69
