Time(s) 10ms_Kbps 20ms_Kbps 30ms_Kbps 40ms_Kbps 50ms_Kbps 100ms_Kbps
1 260178.2 190356.3 103333.2 143370.3 118797.1 46030.86
2 232072.8 236309.7 143794.7 118802.9 100281.4 58104.11
3 378288.4 251413.2 154097.7 147573.2 131821.6 67341
4 286470.6 192035.7 149665 100652.4 109225.1 80685.07
5 347721.4 185375.9 104437.7 127794.5 72204.08 55986.94
6 202117.1 193061.6 158533.4 200229.3 116936 52493.83
7 331910.2 179285.5 182032 157332.9 152377.4 44737.11
8 306713.4 181308.5 93657.39 136720.4 69499.33 44904.27
9 197030.7 168095.2 141124.1 117686 119512.4 55569.41
10 297882.6 200742.4 172623.3 142467 99203.15 60724.11
11 222236.3 198573.1 145876.6 173325.6 106755.7 69448.33
12 267064.7 194579.5 101389 99308.71 126396.8 57664.07
13 283669.4 149898.1 164933.5 138096.6 121583.3 57587.03
14 329635.6 132755.3 125924.4 138656.7 120114.9 53472.56
15 272377.8 192979.2 99787.32 147679 86009.44 44431.77
16 206454 198031.8 174513 136579.4 94527.11 48533.09
17 278513.2 181533.6 69348.74 123496.6 122294.1 73731.95
18 421338.2 197493.8 124844.4 155127.6 130144.5 60639.55
19 252534.7 201588.9 166342.4 141937.8 89181.47 44871.86
20 358785.8 202222.1 142016.1 121220.9 128670.2 58652.31
21 325129.5 201241.8 146891.2 153210 130181.5 55127.12
22 317597.9 195412.4 89487.39 160926.6 117863.8 60114.75
23 219049 172818.5 133144.4 198755.8 118676.1 59841.9
24 270705.2 138648.8 150544.6 177390.3 84397.57 58019.11
25 398019.5 162156.9 122412 129529 110361.5 58328.62
26 239731.3 196125.2 103546.3 142208.1 128422.9 54838.55
27 429055.2 143616.5 162321.4 151817.2 114194.3 66594.32
28 285172.3 260558.5 146557.2 113737 114539.2 63197.45
29 280975.2 150364 113254.1 152647.2 118461.9 59650
30 352233.1 125648.9 118209.5 163817.9 125052.3 61167.57
31 339673.2 195015.6 127722.7 87242.6 101336.7 55467.97
32 226587.1 188777.7 181111.2 185668.9 98288.2 50854.21
33 332983.1 131666.8 140360.6 100652.7 117887.2 54876.19
34 163021.7 153957.8 120330.8 125049.4 129100.5 56694.39
35 258913.2 258293.8 135447.1 108161.4 128215.8 67197.47
36 317872.9 212941.3 191039.9 152891.8 129144.3 61462.4
37 472668.4 153078.7 135453.7 115904.7 117445.3 83933.55
38 285035.1 195758.3 126935.8 155454.4 75207.95 53979.92
39 365928.3 195209.7 138270.1 135404.2 110962.9 60043.19
40 447105.9 197569.5 149072.1 139062.9 101099.7 54538.15
41 161887.2 195783.2 112813.5 145254.7 127370.3 52667.4
42 433073.8 157349.4 137210 175636.6 120169 58473.25
43 280954.6 149982.2 179298 119555.3 102950 61243.57
44 360362.7 178235.8 128525 119835.5 134403.5 82980.35
45 241180.8 182982.2 145447.9 139167.9 79783.37 56843.94
46 260217.2 184565.5 122604 131611.9 129789.4 64358.07
47 381740.2 188830.7 137477.5 99492.14 128949.8 52685.95
48 338150 197348.1 161565.5 118002.5 111995.6 49233.98
49 354865.8 144062.4 166912.2 189854.6 84646.08 65813.27
50 291653.3 172986.9 100787 112604.4 103343.7 64541.39
51 372373.7 146562.9 170064.8 84929.05 126350.1 65981.1
52 351187.7 188642.6 130902.1 131194.5 119604.3 71028.34
53 183531.9 192406.1 138513.3 176997.2 104932.7 59524.99
54 423304.3 192070.9 141796.2 132306.7 79289.76 54663.9
55 327703.2 190275.6 101174.8 158714.1 122580.3 45079.8
56 276792.4 259777.7 169399.1 162788.2 130344 54814.24
57 342792.9 202084.8 146602.7 135703.1 130242.3 72868.14
58 430760.9 149662.2 99089.47 153333.7 124836.4 61180.28
59 268790.7 183666.8 169273.3 95496.73 89133.87 68326.03
60 322832.8 170505.7 122932.9 128982 93448.06 60360.31
61 313471.9 194637.8 135438.5 135842 128815.6 55097.88
62 258416.7 162341.2 134916.6 144558.2 141502.7 54862.44
63 219163.7 225086.2 154340.3 146910.4 108666.5 71008.52
64 223604.3 135076.2 135432.5 122705.8 97017.24 67911.19
65 423039.2 197720.1 110026.2 116204.5 130525.1 72580.16
66 261580.1 197557.3 129913.8 138201.4 129739 67779.04
67 314238 201569 185162.1 120741.2 101797.5 50040.43
68 490573 188011.2 79658.76 146732.7 115864.6 45982.79
69 306079.7 184638.1 199460.3 140660 87716.7 46025.6
70 234208.9 186833.4 132315.2 171488.7 130087 65936.98
71 474005.1 181206.7 109011.5 96658.98 106874 61582.35
72 464097.9 154248.6 142855.9 152519.8 97415.9 64568.61
73 261116.2 187949 132123.1 170832.9 113874.8 61484.18
74 379106.4 196334.3 134311.8 155866.1 105800.2 46008.72
75 287282.5 191278 199952.8 143409.5 123973.1 65872.87
76 485408.5 182431.4 114851.5 145287.9 98932.4 64984.7
77 288370.6 179856.6 110244.5 103187.6 95606.76 57881.02
78 277436.7 198172.7 182866.9 132736.1 93815.47 59571.58
79 414475.8 200068.5 103410.2 191052.1 123971.7 43885.51
80 309246.2 138784.6 154973 160997.4 113929.1 58935.57
81 228532.6 136272.5 140031.3 136960.9 115703 59461.43
82 230713.1 198038.4 149550.1 128832 96624.7 53742.52
83 293476.6 171443 144082.3 177680.9 112590.8 63751.21
84 334053.5 141590.3 136137.4 98410.54 123581.2 54668.13
85 316665.7 152603.7 140818.7 128905.4 127001.6 87818.78
86 334937.4 198992 147412.2 179385.9 126941.3 55813.19
87 349727.2 200655.3 118737.6 148552.2 120934.2 50446.97
88 312281.9 200083.2 154192.1 139545.1 120545 71236.08
89 235311.6 196756.5 171349 127831.5 77353.39 48017.51
90 280815.3 201096.8 132225.3 135049.5 131088.8 49065.88
91 335326.6 232219.8 106830.7 147232.8 115003.3 65851.18
92 311917 236633.3 180384 105789.3 126640.1 65913.28
93 261775.3 168921.7 124820.5 148131.1 97782.76 68708.03
94 216426.6 169099.8 137372.3 139559.2 96446.54 63093.89
95 395759.6 167400.3 109236.4 128451.8 123924.3 53979.85
96 444761.5 186471.9 169774 99353.8 139927.3 50882.8
97 273157.9 197675 108910.3 116575.7 130415.4 47713.6
98 253910 194478.4 150745.3 167382.3 118436.4 65921.22
99 322612.2 153231.6 127063.9 193182 107779.5 65136.61
100 393315.1 152056.7 97484.23 125895.2 72850.82 64741.39
101 262373.8 162627.8 148665.1 158031.9 129947.7 57763.23
102 353123.2 198495.2 169362.1 154227.4 128505.4 49974.12
103 183566.8 272876.3 119315.2 115129.8 107738.7 52135.4
104 370247.3 150410.2 104050.5 113118.6 71299.7 48802.08
105 362095.2 172061.4 179940.6 106777.3 113324.7 59851.3
106 313208.1 206118.3 141610.1 192975 145284.1 66129.33
107 338949 186270.2 129340.5 98683.63 128026.6 66132.63
108 379784.8 153458.8 126229.7 143959.3 77193.32 76729.93
109 328116.9 153957.7 142541.7 140305.8 123557.4 48279.31
110 358492.2 171854.8 154985.2 158601.5 127591.4 52875.66
111 220227.5 197340 110137.4 160280.2 125820.2 51826.84
112 281865.1 197182.4 133385.4 155512 110905.3 48138.78
113 364894.9 192499 84448.33 137810.3 102645 59312.89
